id,nationName,altNationName,flag,code
0,Unknown,,https://,UNK
1,Belgium,,https://media.api-sports.io/football/teams/1.png,BEL
2,France,,https://media.api-sports.io/football/teams/2.png,FRA
3,Croatia,,https://media.api-sports.io/football/teams/3.png,CRO
4,Russia,,https://media.api-sports.io/football/teams/4.png,RUS
5,Sweden,,https://media.api-sports.io/football/teams/5.png,SWE
6,Brazil,,https://media.api-sports.io/football/teams/6.png,BRA
7,Uruguay,,https://media.api-sports.io/football/teams/7.png,URU
8,Colombia,,https://media.api-sports.io/football/teams/8.png,COL
9,Spain,,https://media.api-sports.io/football/teams/9.png,SPA
10,England,,https://media.api-sports.io/football/teams/10.png,ENG
11,Panama,,https://media.api-sports.io/football/teams/11.png,PAN
12,Japan,,https://media.api-sports.io/football/teams/12.png,JAP
13,Senegal,,https://media.api-sports.io/football/teams/13.png,SEN
14,Serbia,,https://media.api-sports.io/football/teams/14.png,SER
15,Switzerland,,https://media.api-sports.io/football/teams/15.png,SWI
16,Mexico,,https://media.api-sports.io/football/teams/16.png,MEX
17,South Korea,Korea Republic,https://media.api-sports.io/football/teams/17.png,SOU
18,Iceland,,https://media.api-sports.io/football/teams/18.png,ICE
19,Nigeria,,https://media.api-sports.io/football/teams/19.png,NIG
20,Australia,,https://media.api-sports.io/football/teams/20.png,AUS
21,Denmark,,https://media.api-sports.io/football/teams/21.png,DEN
22,Iran,,https://media.api-sports.io/football/teams/22.png,IRA
23,Saudi Arabia,,https://media.api-sports.io/football/teams/23.png,SAU
24,Poland,,https://media.api-sports.io/football/teams/24.png,POL
25,Germany,,https://media.api-sports.io/football/teams/25.png,GER
26,Argentina,,https://media.api-sports.io/football/teams/26.png,ARG
27,Portugal,,https://media.api-sports.io/football/teams/27.png,POR
28,Tunisia,,https://media.api-sports.io/football/teams/28.png,TUN
29,Costa Rica,,https://media.api-sports.io/football/teams/29.png,COS
30,Peru,,https://media.api-sports.io/football/teams/30.png,PER
31,Morocco,,https://media.api-sports.io/football/teams/31.png,MOR
32,Egypt,,https://media.api-sports.io/football/teams/32.png,EGY
767,Wales,,https://media.api-sports.io/football/teams/767.png,WAL
768,Italy,,https://media.api-sports.io/football/teams/768.png,ITA
769,Hungary,,https://media.api-sports.io/football/teams/769.png,HUN
770,Czech Republic,Czechia,https://media.api-sports.io/football/teams/770.png,CZE
771,Northern Ireland,,https://media.api-sports.io/football/teams/771.png,NOR
772,Ukraine,,https://media.api-sports.io/football/teams/772.png,UKR
773,Slovakia,,https://media.api-sports.io/football/teams/773.png,SLO
774,Romania,,https://media.api-sports.io/football/teams/774.png,ROM
775,Austria,,https://media.api-sports.io/football/teams/775.png,AUS
776,Rep. Of Ireland,Republic of Ireland,https://media.api-sports.io/football/teams/776.png,IRE
777,Turkey,Türkiye,https://media.api-sports.io/football/teams/777.png,TUR
778,Albania,,https://media.api-sports.io/football/teams/778.png,ALB
1090,Norway,,https://media.api-sports.io/football/teams/1090.png,NOR
1091,Slovenia,,https://media.api-sports.io/football/teams/1091.png,SLO
1092,Latvia,,https://media.api-sports.io/football/teams/1092.png,LAT
1093,Gibraltar,,https://media.api-sports.io/football/teams/1093.png,GIB
1094,Armenia,,https://media.api-sports.io/football/teams/1094.png,ARM
1095,Kazakhstan,,https://media.api-sports.io/football/teams/1095.png,KAZ
1096,Azerbaijan,,https://media.api-sports.io/football/teams/1096.png,AZE
1097,Lithuania,,https://media.api-sports.io/football/teams/1097.png,LIT
1098,Faroe Islands,,https://media.api-sports.io/football/teams/1098.png,FAR
1099,Finland,,https://media.api-sports.io/football/teams/1099.png,FIN
1100,Belarus,,https://media.api-sports.io/football/teams/1100.png,BEL
1101,Estonia,,https://media.api-sports.io/football/teams/1101.png,EST
1102,Luxembourg,,https://media.api-sports.io/football/teams/1102.png,LUX
1103,Bulgaria,,https://media.api-sports.io/football/teams/1103.png,BUL
1104,Georgia,,https://media.api-sports.io/football/teams/1104.png,GEO
1105,FYR Macedonia,North Macedonia,https://media.api-sports.io/football/teams/1105.png,MAC
1106,Cyprus,,https://media.api-sports.io/football/teams/1106.png,CYP
1107,Liechtenstein,,https://media.api-sports.io/football/teams/1107.png,LIE
1108,Scotland,,https://media.api-sports.io/football/teams/1108.png,SCO
1109,Montenegro,,https://media.api-sports.io/football/teams/1109.png,MON
1110,Andorra,,https://media.api-sports.io/football/teams/1110.png,AND
1111,Kosovo,,https://media.api-sports.io/football/teams/1111.png,SOV
1112,Malta,,https://media.api-sports.io/football/teams/1112.png,MAL
1113,Bosnia & Herzegovina,Bosnia and Herzegovina,https://media.api-sports.io/football/teams/1113.png,BOS
1114,Moldova,,https://media.api-sports.io/football/teams/1114.png,MOL
1115,San Marino,,https://media.api-sports.io/football/teams/1115.png,SAN
1116,Israel,,https://media.api-sports.io/football/teams/1116.png,ISR
1117,Greece,,https://media.api-sports.io/football/teams/1117.png,GRE
1118,Netherlands,,https://media.api-sports.io/football/teams/1118.png,NET
1489,Tanzania,,https://media.api-sports.io/football/teams/1489.png,TAN
1490,Madagascar,,https://media.api-sports.io/football/teams/1490.png,MAD
1491,Mauritania,,https://media.api-sports.io/football/teams/1491.png,MAU
1492,Gambia,,https://media.api-sports.io/football/teams/1492.png,GAM
1493,Namibia,,https://media.api-sports.io/football/teams/1493.png,NAM
1494,Sao Tome and Principe,São Tomé e Príncipe,https://media.api-sports.io/football/teams/1494.png,PRN
1495,Malawi,,https://media.api-sports.io/football/teams/1495.png,MAL
1496,South Sudan,,https://media.api-sports.io/football/teams/1496.png,SSU
1497,Mauritius,,https://media.api-sports.io/football/teams/1497.png,MAU
1498,Eritrea,,https://media.api-sports.io/football/teams/1498.png,ERI
1499,Sierra Leone,,https://media.api-sports.io/football/teams/1499.png,SIE
1500,Mali,,https://media.api-sports.io/football/teams/1500.png,MAL
1501,Ivory Coast,Côte d'Ivoire,https://media.api-sports.io/football/teams/1501.png,IVO
1502,Burkina Faso,,https://media.api-sports.io/football/teams/1502.png,BUR
1503,Gabon,,https://media.api-sports.io/football/teams/1503.png,GAB
1504,Ghana,,https://media.api-sports.io/football/teams/1504.png,GHA
1505,Niger,,https://media.api-sports.io/football/teams/1505.png,NIG
1506,Ethiopia,,https://media.api-sports.io/football/teams/1506.png,ETH
1507,Zambia,,https://media.api-sports.io/football/teams/1507.png,ZAM
