externalTeamId,season,externalLeagueId,name,code,country,logo,national,venue,createdAt,updatedAt,isForUnassigned
49,2025,15,Chelsea,CHE,England,https://media.api-sports.io/football/teams/49.png,false,Stamford Bridge,2025-06-16T07:06:29.749Z,,false,
50,2025,15,Manchester City,MAC,England,https://media.api-sports.io/football/teams/50.png,false,Etihad Stadium,2025-06-16T07:06:29.749Z,,false,
85,2025,15,Paris Saint Germain,PAR,France,https://media.api-sports.io/football/teams/85.png,false,Parc des Princes,2025-06-16T07:06:29.749Z,,false,
120,2025,15,Botafogo,BOT,Brazil,https://media.api-sports.io/football/teams/120.png,false,Estádio Nilton Santos,2025-06-16T07:06:29.749Z,,false,
121,2025,15,Palmeiras,PAL,Brazil,https://media.api-sports.io/football/teams/121.png,false,Allianz Parque,2025-06-16T07:06:29.749Z,,false,
124,2025,15,Fluminense,FLU,Brazil,https://media.api-sports.io/football/teams/124.png,false,Estadio Jornalista Mário Filho (Maracanã),2025-06-16T07:06:29.749Z,,false,
127,2025,15,Flamengo,FLA,Brazil,https://media.api-sports.io/football/teams/127.png,false,Estadio Jornalista Mário Filho (Maracanã),2025-06-16T07:06:29.749Z,,false,
157,2025,15,Bayern München,BAY,Germany,https://media.api-sports.io/football/teams/157.png,false,Fußball Arena München,2025-06-16T07:06:29.749Z,,false,
165,2025,15,Borussia Dortmund,DOR,Germany,https://media.api-sports.io/football/teams/165.png,false,BVB Stadion Dortmund,2025-06-16T07:06:29.749Z,,false,
211,2025,15,Benfica,BEN,Portugal,https://media.api-sports.io/football/teams/211.png,false,Estádio do Sport Lisboa e Benfica (da Luz),2025-06-16T07:06:29.749Z,,false,
212,2025,15,FC Porto,POR,Portugal,https://media.api-sports.io/football/teams/212.png,false,Estádio Do Dragão,2025-06-16T07:06:29.749Z,,false,
287,2025,15,Urawa,URA,Japan,https://media.api-sports.io/football/teams/287.png,false,Saitama Stadium 2002,2025-06-16T07:06:29.749Z,,false,
435,2025,15,River Plate,RIV,Argentina,https://media.api-sports.io/football/teams/435.png,false,Estadio Mâs Monumental,2025-06-16T07:06:29.749Z,,false,
451,2025,15,Boca Juniors,BOC,Argentina,https://media.api-sports.io/football/teams/451.png,false,Estadio Alberto José Armando,2025-06-16T07:06:29.749Z,,false,
496,2025,15,Juventus,JUV,Italy,https://media.api-sports.io/football/teams/496.png,false,Allianz Stadium,2025-06-16T07:06:29.749Z,,false,
505,2025,15,Inter,INT,Italy,https://media.api-sports.io/football/teams/505.png,false,Stadio Giuseppe Meazza,2025-06-16T07:06:29.749Z,,false,
530,2025,15,Atletico Madrid,MAD,Spain,https://media.api-sports.io/football/teams/530.png,false,Estádio Cívitas Metropolitano,2025-06-16T07:06:29.749Z,,false,
541,2025,15,Real Madrid,REA,Spain,https://media.api-sports.io/football/teams/541.png,false,Estadio Santiago Bernabéu,2025-06-16T07:06:29.749Z,,false,
571,2025,15,Red Bull Salzburg,SAL,Austria,https://media.api-sports.io/football/teams/571.png,false,Red Bull Arena,2025-06-16T07:06:29.749Z,,false,
968,2025,15,Wydad AC,WYD,Morocco,https://media.api-sports.io/football/teams/968.png,false,Stade Mohamed V,2025-06-16T07:06:29.749Z,,false,
980,2025,15,ES Tunis,EST,Tunisia,https://media.api-sports.io/football/teams/980.png,false,Stade Olympique de Radès,2025-06-16T07:06:29.749Z,,false,
1577,2025,15,Al Ahly,AHL,Egypt,https://media.api-sports.io/football/teams/1577.png,false,WE Al-Ahly Stadium,2025-06-16T07:06:29.749Z,,false,
1595,2025,15,Seattle Sounders,SEA,USA,https://media.api-sports.io/football/teams/1595.png,false,Lumen Field,2025-06-16T07:06:29.749Z,,false,
1616,2025,15,Los Angeles FC,LOS,USA,https://media.api-sports.io/football/teams/1616.png,false,BMO Stadium,2025-06-16T07:06:29.749Z,,false,
2282,2025,15,Monterrey,MON,Mexico,https://media.api-sports.io/football/teams/2282.png,false,Estadio BBVA,2025-06-16T07:06:29.749Z,,false,
2292,2025,15,Pachuca,PAC,Mexico,https://media.api-sports.io/football/teams/2292.png,false,Estadio Hidalgo,2025-06-16T07:06:29.749Z,,false,
2537,2025,15,Auckland City,AUC,New-Zealand,https://media.api-sports.io/football/teams/2537.png,false,Kiwitea Street,2025-06-16T07:06:29.749Z,,false,
2699,2025,15,Mamelodi Sundowns,MAM,South-Africa,https://media.api-sports.io/football/teams/2699.png,false,Loftus Versfeld Stadium,2025-06-16T07:06:29.749Z,,false,
2767,2025,15,Ulsan Hyundai FC,ULS,South-Korea,https://media.api-sports.io/football/teams/2767.png,false,Ulsan Munsu Football Stadium,2025-06-16T07:06:29.749Z,,false,
2865,2025,15,Al Ain,AIN,United-Arab-Emirates,https://media.api-sports.io/football/teams/2865.png,false,Hazza Bin Zayed Stadium,2025-06-16T07:06:29.749Z,,false,
2932,2025,15,Al-Hilal Saudi FC,HIL,Saudi-Arabia,https://media.api-sports.io/football/teams/2932.png,false,Kingdom Arena,2025-06-16T07:06:29.749Z,,false,
9568,2025,15,Inter Miami,INT,USA,https://media.api-sports.io/football/teams/9568.png,false,Chase Stadium,2025-06-16T07:06:29.749Z,,false


